"Chord","Key Strokes"
"   O LOOO","<Tab>"
"   O MOOO"," "
"   O ROOO","<Backspace>"
"   O OLOO","o"
"   O OMOO","e"
"   O OROO","i"
"   O OOLO","r"
"   O OOMO","t"
"   O OORO","n"
"   O OOOL","s"
"   O OOOM","h"
"   O OOOR","a"
"   O OROR","ai"
"   O OROM","hi"
"   O OROL","is"
"   O ORRO","in"
"   O ORMO","it"
"   O ORLO","ri"
"   O OMOR","ea"
"   O OMOM","he"
"   O OMOL","es"
"   O OMRO","en"
"   O OMMO","te"
"   O OMLO","er"
"   O OLOR","oa"
"   O OLOM","ho"
"   O OLOL","so"
"   O OLRO","on"
"   O OLMO","to"
"   O OLLO","or"
"   O OORR","an"
"   O OORM","hn"
"   O OORL","ns"
"   O OOMR","at"
"   O OOMM","th"
"   O OOML","st"
"   O OOLR","ar"
"   O OOLM","hr"
"   O OOLL","rs"
"   O MLOO","u"
"   O MMOO","d"
"   O MROO","c"
"   O MOLO","w"
"   O MOMO","l"
"   O MORO","f"
"   O MOOL","y"
"   O MOOM","m"
"   O MOOR","g"
"   O MLLO","v"
"   O MOLL","x"
"   O MLOL","z"
"   O MMMO","p"
"   O MOMM","k"
"   O MMOM","q"
"   O MRRO","b"
"   O MORR","j"
"   O MLRO","of"
"   O MMRO","nd"
"   O MROM","ch"
"   O MLOM","qu"
"   O MOLM","wh"
"   O OMMM","the"
"   O ORRR","ain"
"   O OMLR","are"
"   O MRRR","ing"
"   O MMRR","and"
"   O MLRR","ong"
"   O RLOO","3"
"   O RMOO","2"
"   O RROO","1"
"   O ROLO","6"
"   O ROMO","5"
"   O RORO","4"
"   O ROOL","9"
"   O ROOM","8"
"   O ROOR","7"
"   O RLLO","-"
"   O RMMO","."
"   O RRRO","0"
"   O ROLL","="
"   O ROMM",">"
"   O RORR","<"
"   O RLMO","+"
"   O RLRO","^"
"   O RLOL","/"
"   O RLOM","*"
"   O RLOR","%"
"   O RMLO","&"
"   O RMRO","|"
"   O RMOM","~"
"   O RMOR","^"
"   O LLOO","."
"   O LMOO","<Return>"
"   O LROO","-"
"   O LOLO",","
"   O LOMO",")"
"   O LORO","("
"   O LOOL",""""
"   O LOOM","`"
"   O LOOR","'"
"   O LLLO",";"
"   O LOLL",":"
"   O LMMO","]"
"   O LRRO","["
"   O LOMM","}"
"   O LORR","{"
"   O LLOL","$"
"   O LLMO","?"
"   O LLOM","#"
"   O LLRO","!"
"   O LLOR","~"
"   O LLLL","@"
"   O LLMM","&"
"   O LMLO","\"
"   O LMRO","/"
"   O LMOM","_"
"   O LMOR","%"
"   N LOOO","<Escape>"
"   N ROOO","<Delete>"
"   N OLOO","<RightArrow>"
"   N OMOO","<UpArrow>"
"   N OROO","<LeftArrow>"
"   N OOLO","<Home>"
"   N OOMO","<DownArrow>"
"   N OORO","<PageUp>"
"   N OOOL","<End>"
"   N OOOM","<Insert>"
"   N OOOR","<PageDown>"
"   N RROO","<F1>"
"   N RMOO","<F2>"
"   N RLOO","<F3>"
"   N RORO","<F4>"
"   N ROMO","<F5>"
"   N ROLO","<F6>"
"   N ROOR","<F7>"
"   N ROOM","<F8>"
"   N ROOL","<F9>"
"   N RRRO","<F10>"
"   N RMMO","<F11>"
"   N RLLO","<F12>"
"   N OOMM","<CapsLock>"
"   N OORR","<NumLock>"
"   N OOLL","<ScrollLock>"
